n,kappa,method,left_tail,A,B,mean_length,median_length,p90_length,mean_to_median,true_power
16,1.25,Equal-tail,0.025,6.262137795043253,27.488392863442964,0.08434595970587441,0.06615550044504892,0.18870351701318744,1.2749651826144845,0.9990799028930891
16,1.25,Expected-opt,0.04999954378826583,7.260929161617798,58.49791955084248,0.05843368242812846,0.04038423953383019,0.14101177750992455,1.4469427455524602,0.9990799028930891
16,1.25,Median-MC,0.04994067794749892,7.259023147303132,45.70062237993432,0.058473609111063744,0.040422796249304005,0.1410914764534319,1.4465503264651203,0.9990799028930891
16,1.25,Median-opt,0.04999954378826583,7.260929161617798,58.49791955084248,0.05843368242812846,0.04038423953383019,0.14101177750992455,1.4469427455524602,0.9990799028930891
25,0.25,Equal-tail,0.025,12.401150217444435,39.36407702660389,0.2536384000507637,0.2492904717330069,0.3240427717181448,1.0174412134067181,0.3335642732684936
25,0.25,Expected-opt,0.018396509721893058,11.844511041467191,38.39115397872088,0.2521235880387165,0.24745639211300963,0.3231250188295419,1.0188606804045515,0.3335642732684936
25,0.25,Median-MC,0.017682263394595096,11.775790542013372,38.29718263677738,0.25214237010031865,0.2474380920753947,0.3232549645332149,1.0190119394530837,0.3335642732684936
25,0.25,Median-opt,0.01768786274125192,11.77633729493591,38.29791205932455,0.2521420753831485,0.24743809098136493,0.3232537581662922,1.0190107528841945,0.3335642732684936
25,0.5,Equal-tail,0.025,12.401150217444435,39.36407702660389,0.3625093254996161,0.38323549871779194,0.4048478436294697,0.9459179191710572,0.783386113914673
25,0.5,Expected-opt,0.03916270394150648,13.304308014429004,42.6728442184234,0.3532886110325635,0.3741467426736661,0.407285782392263,0.9442514680415238,0.783386113914673
25,0.5,Median-MC,0.03968843063112555,13.332971060836185,42.86289613282776,0.3533054087777469,0.37416312513236016,0.40792423542522926,0.9442550188577914,0.783386113914673
25,0.5,Median-opt,0.03965843194564444,13.33134268592377,42.85181216985274,0.35330353003284315,0.3741284576765921,0.4078815367382682,0.9443374936697527,0.783386113914673
25,0.75,Equal-tail,0.025,12.401150217444435,39.36407702660389,0.15960583432308895,0.15511515049724867,0.27013279830057935,1.028950646093851,0.9770584405270561
25,0.75,Expected-opt,0.04984082379401683,13.841052639207271,57.156196554253924,0.1319390984253162,0.12295277711657682,0.23873195291901317,1.073087583050028,0.9770584405270561
